Muon#,Angle [deg],energy [GeV],entry [mm],exit [mm]
402,0.07825061255124396,206.47698198855028,[2.19672024 2.27224878 6.62173431],[ 3.23667041  2.69066857 -6.6818321 ]
403,3.4383580878194513,192.66055851117804,[-0.57654099  0.40229753  6.62703748],[-4.46556365 -2.08151474 -6.67201429]
407,4.7459580672663275,89.1705297180832,[6.0423697  1.14303759 1.14391445],[-1.77354373 -0.10885632 -6.67640486]
410,3.7422798942608217,468.56423765356425,[-1.72178885 -1.75034673  6.61494486],[-5.87764968 -1.93457559 -0.73783406]
412,0.7623208218521274,136.63416233198612,[ 5.25979003 -0.02933663  6.61758642],[6.19388799 0.06860365 5.26500096]
415,2.7701737274888387,315.1493646562952,[2.9946069  0.64855582 6.62502261],[ 5.70575962  2.37769721 -0.84499412]
416,3.758397586686924,885.4218774232496,[-0.21218102  3.25019119  6.61661403],[-5.65686015  2.50748224 -2.79621407]
418,2.3032245049714684,257.5362766138814,[3.24419772 3.83524447 6.62938056],[4.41589948 4.3478149  5.0535657 ]
419,0.1379496213613463,333.5051616271368,[ 0.3355341  -0.11335002  6.61728932],[ 2.16288527  0.53489608 -6.67132878]
423,0.2796147791868681,1247.7190530956163,[ 4.17987318 -4.09555263  6.61379373],[ 4.64317967 -4.07756613  4.93505831]
424,2.5269673868987175,9.083312454770363,[2.01836682 2.54391927 6.61143679],[5.6041223  2.62955798 0.39320997]
426,4.46265518957138,276.1949765950718,[-4.9715422  -0.68396983  6.6158731 ],[-6.147651   -0.80336367  5.40211127]
427,5.4374725758007925,38.763579189235415,[-2.18496666  3.55879408  6.62211996],[-5.49414006  2.85605955  2.20071573]
431,5.584799181898327,142.449085770238,[-0.153953   -0.79307778  6.62929955],[-5.91411466 -1.82088346 -2.32920517]
433,3.7859753303597725,114.79890125613979,[ 0.70456445 -1.64670909  6.62111917],[-5.14191787 -3.43948228 -3.11158175]
435,3.858393375937597,17.67752107262191,[-3.14281736 -3.58445411  6.62420869],[-4.75533635 -3.95958955  4.16975247]
438,2.7476988401544897,330.3063279233987,[ 2.87774084 -2.51009582  6.61076859],[ 5.80157012 -2.13742594 -1.00759701]
440,0.6882821802597975,376.20610011650615,[3.21005795 0.38231602 6.61986975],[6.15266928 0.70347336 1.98737825]
449,2.1327128315089103,1098.0427531472253,[-4.0390955  -0.75353761  6.61075249],[ 6.16498131 -0.57718863 -5.4474469 ]
452,1.5125355182837796,112.74075983283561,[ 0.53339975 -2.40794154  6.61862492],[ 6.06438527 -1.25244032  1.07823914]
453,1.4523812773600702,29.293006556381222,[3.29245733 3.93063279 6.6175297 ],[4.72023692 4.00876618 5.17968104]
457,1.8078252120556104,1966.0536633934626,[4.97305219 0.57791174 6.6179241 ],[6.17648664 0.64547485 5.37987368]
459,0.6378228096077617,197.00576545688295,[-4.36815974 -4.3410187   1.55048468],[ 0.53624411 -3.3589628  -6.68601326]
461,5.663979821932967,545.1721431334873,[ 0.45059805 -1.02472764  6.61697688],[-5.66229962 -2.51278566 -3.91544989]
463,0.6778192795820288,45.128753583577726,[3.17432787 2.21665472 6.61715573],[5.24863918 3.283975   3.30934996]
472,3.0735499378599367,40.01040350580576,[-4.03113959 -4.67192532  1.99510712],[-3.44129645 -4.6527376  -6.68030387]
476,2.138865726990086,9.355465059820244,[ 1.9923205  -4.93740488  6.61097064],[ 4.04923185 -4.67457515  4.17081075]
482,3.728265192667473,35.19628581203001,[2.1185338  1.72424724 6.6278946 ],[-5.24846199  0.11862492 -6.67970766]
487,2.508695212166925,33.37564553962775,[-0.29417316  5.29516594  6.61436673],[2.95616748 5.43055671 1.11913201]
488,3.753487292400537,81.63256512693454,[-1.64962422 -2.392481    6.63277352],[-4.40061664 -4.35210522  1.84360279]
489,5.181736301692947,38.06992604445281,[-4.80610442  0.72666976  6.62413303],[-6.18530081  0.36048036  5.07771242]
496,4.285547076069476,107.56136399757959,[ 6.05870408 -0.99537279  5.43037608],[-4.97319498 -1.11669188 -6.68889111]
497,5.3196053362184585,490.2855911968293,[ 6.0417198  -1.11709708  6.09326045],[-4.44926044 -2.704619   -6.68130805]
499,0.2457647258345103,91.20177206642155,[ 1.44591017 -2.05426448  6.62394296],[ 4.67991569 -0.68169046 -6.66841301]
501,2.092997175683037,52.207658797713684,[5.63137446 0.50512931 6.62251291],[6.16529019 0.56594858 6.00649671]
503,0.039655049218743355,281.95115894924487,[ 2.50083545 -4.72357034  6.62718204],[ 3.02844598 -4.64373097 -6.68130805]
504,2.441915687299746,92.52707583916845,[2.38667975 0.03063532 6.61267182],[6.04210935 1.35980239 0.93627961]
505,2.878505726059349,147.10793601941563,[ 2.17114589 -2.62405234  6.61740047],[ 5.63009197 -2.43640098 -6.68304116]
508,0.3626635271263914,61.91513017978121,[2.81962623 1.8701573  6.6158731 ],[ 5.79148003  2.17184796 -1.76107325]
511,2.9031236292958655,340.89004299093455,[ 4.89480577 -2.19810092  6.61501007],[ 5.82193019 -2.07385648  2.69009666]
518,4.22167249522086,883.8908607211389,[-2.64297576 -3.78489753  6.62502129],[-4.04644505 -4.70062158  5.03377804]
528,2.2549149182051984,179.9122005878095,[3.92550482 4.36548429 6.61355631],[4.3234705  4.42890685 6.10003656]
532,5.251162200135035,177.84615900161032,[-4.80648403  0.57939515  6.61282128],[-6.17905729  0.5334499   5.01371692]
537,0.5258548275428584,855.330619436068,[-1.30027174 -2.68881466  6.61098731],[ 5.37438905 -2.55667907 -6.68640728]
540,0.006756398193837299,156.8658871827274,[-0.20652274  0.65237685  6.61926572],[-0.11665872  0.69466848 -6.68141662]
544,2.2195317975178703,62.06243279904791,[ 4.2051076  -3.92393248  6.61336767],[ 4.83964239 -3.86273815  5.81706216]
545,6.093808596393223,244.85309939975951,[4.42343742 2.16235693 6.61118432],[ 1.9203435   2.10808346 -6.6856904 ]
547,2.1197563046893193,156.15438890784915,[ 4.2078061  -4.22057294  6.61801311],[ 4.54849065 -4.20133887  6.21864907]
549,2.5046880212928753,35.95783568618317,[3.14527007 2.65093262 6.63031303],[4.79328263 3.92240087 3.85919247]
555,0.5743167909350996,23.876922293178016,[3.03797897 1.95111112 6.61996524],[5.60244086 2.62338133 1.89947107]
559,3.406799739485511,283.67540649493395,[-4.47850117 -3.18113231  6.62050171],[-5.26842134 -3.23220543  3.6067944 ]
560,1.1931922497094913,778.9746499941355,[-5.01347425 -3.12549335  6.61032239],[ 5.41541707 -3.00752854 -4.60895989]
561,6.121295181352408,181.5947474277619,[-2.05720233  4.13076305  6.62959489],[-4.20128627  3.79942073 -6.67250213]
562,3.424527752046006,142.96306904470808,[-2.30209356 -0.86131251  6.62548639],[-5.74185137 -2.28879819 -5.69565545]
565,1.0416592766831914,157.68281011869408,[-0.60091807  0.94067424  6.61113339],[ 6.0963412   1.08273016 -1.14712156]
566,3.749162459375282,98.27886488535796,[6.0759418  0.98301105 6.16926237],[-1.25720636 -3.43872579 -6.67621645]
569,3.5816562316205003,113.25476167588636,[-3.02301933 -1.9862331   6.62015116],[-5.54048868 -2.75646294  0.71055689]
574,2.189187879669252,87.16408711956306,[1.97307409 0.63849786 6.61118301],[6.06266173 1.27773205 1.59212609]
577,5.964342864075467,961.6067032499193,[-0.6080748   2.12241036  6.62086235],[-4.77446373  1.84842696 -6.67043002]
578,0.5846905803396449,54.40767548301077,[ 4.42948828 -2.1440267   6.61730788],[ 5.91023496 -1.8366194   3.93451092]
580,4.095195270133723,67.01522349673375,[-3.94448264 -1.2892517   6.6195768 ],[-5.88687815 -1.90865497  4.23774764]
582,2.248064769680101,109.0346877358252,[3.69554788 2.38216623 6.61743577],[5.17426459 3.39506055 4.71991155]
583,1.9266623258679245,108.30748077708648,[3.41665005 3.00814965 6.61431929],[4.984298   3.68105911 4.94188519]
588,3.0483586675562364,709.0338645454719,[-3.52133847 -0.97218315  6.61913519],[-2.28395996 -0.20470144 -6.67186574]
589,1.907555073228965,87.69859079905943,[-0.46782576  2.4182612   6.62492467],[5.49834067 2.87842636 0.30369897]
590,3.3935305460179515,373.50608227226394,[-3.18287041 -3.28170447  6.62000984],[-4.70737405 -3.99974849  0.50441028]
591,3.999301571811489,9.406506565996628,[ 5.8121008  -1.54488648  6.62535942],[-2.94946966 -5.4451293  -4.95872104]
600,5.036182258258775,121.6072970672794,[ 5.6315467  -2.49142068  0.27397388],[-0.38340604 -6.17524419 -6.07067637]
602,5.208816467663624,147.4595141100663,[5.04628396 3.52395602 0.60627314],[-1.36671246  1.24556587 -6.68710961]
606,4.302869015649765,85.79147520652425,[-2.1347118  -1.98416496  6.62317027],[-5.13771676 -3.48544502  3.34946977]
607,4.380719474010085,480.46426278030776,[ 3.87306397 -4.78868422 -2.11634913],[-0.4342816  -5.23483778 -6.67197623]
609,2.5391120585343105,167.27644410370894,[-1.94847657 -1.953951    6.61028757],[ 5.58804455 -1.87343917 -6.68895357]
610,5.595093044840194,241.92526734100218,[2.13520705 2.15679013 6.62149311],[-5.83155336 -2.09560028 -5.92330829]
611,5.927906690695202,482.88929162661657,[-0.08397517  0.36843409  6.61813627],[-4.70790968 -0.27267899 -6.67470058]
617,5.818817450212434,67.23781695096872,[-2.79476824 -4.18673702  6.61486261],[-4.14092385 -4.59351613  3.60909619]
619,3.3652560652168964,534.7148800997666,[ 1.25578181 -3.44226375  6.61394082],[-1.69261658 -4.10040437 -6.67891306]
620,5.1674681872298,795.22125796207,[-0.6824255   6.12610307 -2.14127666],[-3.97367992  4.73045169 -5.80544763]
622,2.6083623308384687,251.1132719849247,[-1.07864138  1.52854499  6.62755197],[ 5.68226759  2.35684749 -6.67300212]
626,1.7267730720646033,60.113214037189856,[-1.74946808 -5.90757216 -0.91416724],[ 2.87293411 -5.47131518 -5.59337373]
627,2.278888575350729,287.18248504171174,[4.81820702 1.65029536 6.62063644],[5.88264867 1.96157259 5.21932522]
631,4.503848121770816,239.5854277180561,[3.92348841 4.72450697 4.39593041],[-6.0859102   1.16131263 -5.83513398]
634,5.4179621566333145,168.99652697216646,[ 5.24803895 -0.53839821  6.62244754],[-2.57215322 -5.63209947 -3.650518  ]
637,6.128884473333152,36.79122411986345,[ 0.26422465 -4.58203013  6.61442081],[-1.77868208 -5.41706551 -6.67802722]
642,0.9267037415213234,20.060246519401314,[2.97867524 1.37060563 6.62449852],[5.57728623 2.71700726 3.37479262]
643,4.74788973660235,54.88133103792894,[-4.82495583 -1.73246031  6.61957158],[-5.91353549 -1.88565948  5.53030558]
649,3.3693767963286674,41.47392408503636,[ 2.0112304  -5.8341423  -0.00700434],[ 0.50318988 -6.07107432 -6.68508479]
652,3.9116320441207972,86.93513592014517,[-5.10521612  2.24016671  6.62937971],[-5.96468481  1.64707164  5.39480095]
656,1.444019529213727,63.0575455745387,[-4.50907214 -1.8133848   6.61186641],[ 6.13820273 -0.82031884 -4.12154863]
658,2.708686198151891,83.56657854305398,[-2.37146444 -5.69394138  4.09004935],[ 2.15083361 -5.67760137 -6.68988028]
661,5.61214968841669,216.50693170948276,[-1.63484062 -0.79607005  6.61726242],[-5.55487185 -2.74426297  0.31290788]
662,0.7672988326521876,144.6101136794391,[ 1.50003981 -3.05650222  6.61787281],[ 5.92662623 -1.77107831  0.24128415]
670,3.0338698010696725,459.0781199869879,[ 1.3961341  -1.88472632  6.62859522],[ 2.8268969  -1.140561   -6.67901462]
672,1.6632436233180792,175.87114569997925,[ 3.00136466 -3.49501555  6.6202766 ],[ 5.5342704  -2.79174295  4.07650845]
674,3.668669781169198,11.229652164202133,[2.73434713 0.70133072 6.61005977],[-3.95559737  0.66875073 -6.68978252]
681,0.01968496780252149,13.057992795354526,[-0.57006033  1.27581571  6.61766005],[-0.30827198  1.29026549 -6.68209555]
682,4.216236015959114,80.38393720779506,[-5.24134813 -2.73312799  6.62855133],[-5.48667949 -2.87099265  6.34958196]
684,1.0621978688009264,593.1106638074028,[ 1.49698641 -5.87038898  6.62262372],[ 2.47087698 -5.6630943   5.50760252]
687,0.0883956196570621,12.100455371782113,[ 0.66623692 -1.48525298  6.62094589],[ 1.84017385 -1.06610204 -6.67685261]
694,0.7773031373187559,161.44316436437902,[2.03837989 1.38608718 6.61046644],[5.90687618 1.8773112  1.09475648]
695,4.151136128315735,39.26203041745319,[-3.30389141 -2.94132141  6.6110189 ],[-5.43686427 -2.98421745  4.09152835]
697,1.9029937662498977,86.64904964465758,[3.63859803 4.58488671 6.62951002],[4.10757133 4.64383843 6.13341418]
699,1.4427787079699401,53.78877369676691,[3.5244654  0.27682553 6.62581989],[6.16255963 0.73686661 3.96595983]
701,3.7176657671057955,16.025122637389465,[-3.12632499 -0.92789655  6.62540495],[-6.03581195 -1.36115703  1.28429997]
