251.0265194,27.21612461
255.6386714,30.46356677
261.2218028,33.21717751
266.5621893,36.4671222
274.5727691,39.97482688
281.8551143,44.22578123
288.4092251,47.72848085
294.4778461,51.72668027
299.8182327,55.97096122
305.401364,59.71890821
310.9844954,64.46119147
316.8103716,68.45855671
322.1507581,73.69717392
327.2483998,77.69203663
334.2880002,84.42799746
340.5993661,90.66428763
345.6970078,96.15065473
351.2801392,102.6330264
356.6205257,108.6173959
361.9609123,114.6017653
367.3012988,121.0833028
373.127175,128.5608449
377.739327,134.2941278
382.5942238,141.022581
387.4491207,147.9996183
391.575783,153.9798169
394.7314659,158.9623424
398.6153834,164.9417068
403.9557699,173.4119169
408.3251771,181.133038
412.6945843,187.6112389
416.3357569,194.3355212
419.0059502,199.8135466
